"Inconsistent nullness check","The result value of a function is often checked for nullness, but not always. Since the value is mostly checked, it is likely that the function can return null values in some cases, and omitting the check could crash the program.","error","The result of this call to BN_CTX_get is not checked for null, but 88% of calls to BN_CTX_get check for null.","/external/boringssl/src/crypto/fipsmodule/bn/div.c","222","17","222","26"
"Inconsistent nullness check","The result value of a function is often checked for nullness, but not always. Since the value is mostly checked, it is likely that the function can return null values in some cases, and omitting the check could crash the program.","error","The result of this call to BN_CTX_get is not checked for null, but 88% of calls to BN_CTX_get check for null.","/external/boringssl/src/crypto/fipsmodule/bn/div.c","223","18","223","27"
"Inconsistent nullness check","The result value of a function is often checked for nullness, but not always. Since the value is mostly checked, it is likely that the function can return null values in some cases, and omitting the check could crash the program.","error","The result of this call to BN_CTX_get is not checked for null, but 88% of calls to BN_CTX_get check for null.","/external/boringssl/src/crypto/fipsmodule/bn/gcd.c","135","7","135","16"
"Inconsistent nullness check","The result value of a function is often checked for nullness, but not always. Since the value is mostly checked, it is likely that the function can return null values in some cases, and omitting the check could crash the program.","error","The result of this call to BN_CTX_get is not checked for null, but 88% of calls to BN_CTX_get check for null.","/external/boringssl/src/crypto/fipsmodule/bn/jacobi.c","85","15","85","24"
"Inconsistent nullness check","The result value of a function is often checked for nullness, but not always. Since the value is mostly checked, it is likely that the function can return null values in some cases, and omitting the check could crash the program.","error","The result of this call to BN_CTX_get is not checked for null, but 88% of calls to BN_CTX_get check for null.","/external/boringssl/src/crypto/fipsmodule/bn/sqrt.c","113","7","113","16"
"Year field changed using an arithmetic operation without checking for leap year","A field that represents a year is being modified by an arithmetic operation, but no proper check for leap years can be detected afterwards.","warning","Field [[""tm_year""|""relative:///external/trusty/musl/include/time.h:44:6:44:12""]] on variable [[""tm""|""relative:///external/boringssl/src/crypto/asn1/a_gentm.c:67:43:67:44""]] has been modified, but no appropriate check for LeapYear was found.","/external/boringssl/src/crypto/asn1/a_gentm.c","113","21","113","27"
"Constant return type on member","A 'const' modifier on a member function return type is useless. It is usually a typo or misunderstanding, since the syntax for a 'const' function is 'int foo() const', not 'const int foo()'.","warning","The 'const' modifier has no effect on return types. The 'const' modifying the return type can be removed.","/system/teeui/libteeui/include/teeui/utils.h","974","20","974","20"
"Constant return type on member","A 'const' modifier on a member function return type is useless. It is usually a typo or misunderstanding, since the syntax for a 'const' function is 'int foo() const', not 'const int foo()'.","warning","The 'const' modifier has no effect on return types. The 'const' modifying the return type can be removed.","/system/teeui/libteeui/include/teeui/utils.h","975","20","975","20"
"Constant return type on member","A 'const' modifier on a member function return type is useless. It is usually a typo or misunderstanding, since the syntax for a 'const' function is 'int foo() const', not 'const int foo()'.","warning","The 'const' modifier has no effect on return types. The 'const' modifying the return type can be removed.","/system/teeui/libteeui/include/teeui/font_rendering.h","63","13","63","13"
"Constant return type on member","A 'const' modifier on a member function return type is useless. It is usually a typo or misunderstanding, since the syntax for a 'const' function is 'int foo() const', not 'const int foo()'.","warning","The 'const' modifier has no effect on return types. The 'const' modifying the return type can be removed.","/trusty/user/app/confirmationui/src/trusty_time_stamper.h","28","5","28","27"
"Nested loops with same variable","When a nested loop uses the same iteration variable as its outer loop, the behavior of the outer loop easily becomes difficult to understand as the inner loop will affect its control flow. It is likely to be a typo.","warning","Nested for statement uses loop variable [[""p""|""relative:///external/trusty/musl/src/stdio/vfscanf.c:62:23:62:23""]] of enclosing [[""for statement""|""relative:///external/trusty/musl/src/stdio/vfscanf.c:79:2:320:2""]].","/external/trusty/musl/src/stdio/vfscanf.c","117","17","117","27"
"Non-virtual destructor","When a class and its derived class both define non-virtual destructors, the destructor of the derived class may not always be called.","warning","This destructor should probably be virtual.","/prebuilts/clang/host/linux-x86/clang-r399163b/include/c++/v1/tuple","181","7","181","7"
"Non-virtual destructor","When a class and its derived class both define non-virtual destructors, the destructor of the derived class may not always be called.","warning","This destructor should probably be virtual.","/prebuilts/clang/host/linux-x86/clang-r399163b/include/c++/v1/vector","461","33","461","33"
"Non-virtual destructor","When a class and its derived class both define non-virtual destructors, the destructor of the derived class may not always be called.","warning","This destructor should probably be virtual.","/external/libcxx/include/vector","460","33","460","33"
"Non-virtual destructor","When a class and its derived class both define non-virtual destructors, the destructor of the derived class may not always be called.","warning","This destructor should probably be virtual.","/external/libcxx/include/tuple","171","7","171","7"
"Non-virtual destructor","When a class and its derived class both define non-virtual destructors, the destructor of the derived class may not always be called.","warning","This destructor should probably be virtual.","/prebuilts/clang/host/linux-x86/clang-r399163b/include/c++/v1/deque","1184","32","1184","32"
"Non-virtual destructor","When a class and its derived class both define non-virtual destructors, the destructor of the derived class may not always be called.","warning","This destructor should probably be virtual.","/external/libcxx/include/deque","1115","32","1115","32"
"Non-virtual destructor","When a class and its derived class both define non-virtual destructors, the destructor of the derived class may not always be called.","warning","This destructor should probably be virtual.","/external/libcxx/src/locale.cpp","5433","1","5433","23"
"Non-virtual destructor","When a class and its derived class both define non-virtual destructors, the destructor of the derived class may not always be called.","warning","This destructor should probably be virtual.","/external/libcxx/src/locale.cpp","4777","1","4777","23"
"Non-virtual destructor","When a class and its derived class both define non-virtual destructors, the destructor of the derived class may not always be called.","warning","This destructor should probably be virtual.","/external/libcxx/include/memory","2134","8","2134","8"
"Non-virtual destructor","When a class and its derived class both define non-virtual destructors, the destructor of the derived class may not always be called.","warning","This destructor should probably be virtual.","/external/libcxx/include/locale","2403","31","2403","31"
"Non-virtual destructor","When a class and its derived class both define non-virtual destructors, the destructor of the derived class may not always be called.","warning","This destructor should probably be virtual.","/external/libcxx/include/locale","1743","5","1743","5"
"Non-virtual destructor","When a class and its derived class both define non-virtual destructors, the destructor of the derived class may not always be called.","warning","This destructor should probably be virtual.","/external/libcxxabi/src/demangle/ItaniumDemangle.h","2142","52","2142","52"
"Non-virtual destructor","When a class and its derived class both define non-virtual destructors, the destructor of the derived class may not always be called.","warning","This destructor should probably be virtual.","/external/libcxx/include/optional","542","8","542","8"
"Non-virtual destructor","When a class and its derived class both define non-virtual destructors, the destructor of the derived class may not always be called.","warning","This destructor should probably be virtual.","/external/libcxx/include/optional","510","8","510","8"
"Non-virtual destructor","When a class and its derived class both define non-virtual destructors, the destructor of the derived class may not always be called.","warning","This destructor should probably be virtual.","/external/libcxx/include/optional","477","8","477","8"
"Non-virtual destructor","When a class and its derived class both define non-virtual destructors, the destructor of the derived class may not always be called.","warning","This destructor should probably be virtual.","/external/libcxx/include/optional","449","8","449","8"
"Non-virtual destructor","When a class and its derived class both define non-virtual destructors, the destructor of the derived class may not always be called.","warning","This destructor should probably be virtual.","/external/libcxx/include/optional","286","8","286","8"
"Non-virtual destructor","When a class and its derived class both define non-virtual destructors, the destructor of the derived class may not always be called.","warning","This destructor should probably be virtual.","/external/libcxx/include/optional","223","5","223","5"
"Non-virtual destructor","When a class and its derived class both define non-virtual destructors, the destructor of the derived class may not always be called.","warning","This destructor should probably be virtual.","/prebuilts/clang/host/linux-x86/clang-r399163b/include/c++/v1/optional","541","8","541","8"
"Non-virtual destructor","When a class and its derived class both define non-virtual destructors, the destructor of the derived class may not always be called.","warning","This destructor should probably be virtual.","/prebuilts/clang/host/linux-x86/clang-r399163b/include/c++/v1/optional","509","8","509","8"
"Non-virtual destructor","When a class and its derived class both define non-virtual destructors, the destructor of the derived class may not always be called.","warning","This destructor should probably be virtual.","/prebuilts/clang/host/linux-x86/clang-r399163b/include/c++/v1/optional","476","8","476","8"
"Non-virtual destructor","When a class and its derived class both define non-virtual destructors, the destructor of the derived class may not always be called.","warning","This destructor should probably be virtual.","/prebuilts/clang/host/linux-x86/clang-r399163b/include/c++/v1/optional","448","8","448","8"
"Non-virtual destructor","When a class and its derived class both define non-virtual destructors, the destructor of the derived class may not always be called.","warning","This destructor should probably be virtual.","/trusty/user/app/avb/avb_messages.h","128","7","128","7"
"Non-virtual destructor","When a class and its derived class both define non-virtual destructors, the destructor of the derived class may not always be called.","warning","This destructor should probably be virtual.","/prebuilts/clang/host/linux-x86/clang-r399163b/include/c++/v1/memory","2087","8","2087","8"
"Non-virtual destructor","When a class and its derived class both define non-virtual destructors, the destructor of the derived class may not always be called.","warning","This destructor should probably be virtual.","/prebuilts/clang/host/linux-x86/clang-r399163b/include/c++/v1/optional","285","8","285","8"
